333168,376162,213500
355000,306000,191500
260400,395192,236500
325000,290941,212000
290000,220000,538000
221000,275000,394432
410000,259000,375000
190000,214000,278000
362500,611657,240000
285000,224000,239500
337000,500000,187500
403000,320000,501837
327000,319900,372500
340000,205000,260000
336000,175500,286000
265000,337500,247900
315000,462000,180000
260000,485000,180000
260000,555000,189000
263550,325000,188500
402000,256300,355000
248000,253293,325000
235000,398800,387000
284500,335000,334000
315000,404000,251000
250000,402861,170000
291000,451950,207500
350000,610000,182000
279500,582933,212000
290000,360000,377426
350000,296000,349265
341000,409900,591587
287500,255500,319900
271000,335000,392000
301500,274900,441929
290000,300000,455000
372500,324000,270000
745000,350000,130000
384500,280000,239000
248000,284000,275000
466500,269500,457347
410000,233170,545224
322500,386250,356383
252000,445000,556581
755000,290000,361919
269790,255900,535000
315750,213000,401179
290000,196000,438780
290000,184500,318000
430000,212500,319000
263000,230000,470000
330000,552000,
302000,382500,
285000,320000,
348000,248500,
286000,286500,
300000,254000,
625000,173000,
405000,173000,
280000,207500,
258000,394617,
350000,426000,
584500,385000,
321000,446261,
290000,317500,
315000,372402,
260000,417500,
334000,383000,
310000,390000,
268000,460000,
262000,379000,
,250000,
,316000,
,615000,
,412500,
,284000,
,284000,
,421250,
,370000,
,336860,
,367294,
,192000,
,274000,
,266000,
,370967,
,234250,
,219500,
,155000,
,154000,
,207000,
,217300,
,356000,
,314813,
,318000,
,322400,
,318000,
,345474,
,415298,
,492000,
,338931,
,450000,
,280000,
,479069,
,395000,
,380000,
,250000,
,440000,
,418000,
,500067,
,260116,
,317000,
,319500,
,325624,
,372000,
,342000,
,354000,
,350000,
,285000,
,281500,
,245700,
,232698,
,250000,
,194700,
,204000,
,200000,
,207000,
,209500,
,209500,
,202500,
,280000,
,277500,
,318061,
,221370,
,200000,
,315000,
,412083,
,342643,
,252000,
,465000,
,293000,
,415000,
,326000,
,325300,
,309000,
,300000,
,275500,
,338500,
,345000,
,344133,
,298236,
,329900,
,360000,
,281000,
,372397,
,378000,
,374000,
,437154,
,275000,
,279000,
,185850,
,282500,
,202500,
,202665,
,332200,
,310090,
,171750,
